datum;fullDepo;balance;equity;hozamManual;hozamRobot
2018.10.17 10:57;300000;300000;300000;0;0
2018.10.17 11:07;297029.7;297029.7;297029.7;0;0
2018.10.17 11:07;0;0;0;0;0
2018.11.14 16:38;200000;200000;200000;0;0
2018.11.14 16:53;198019.8;198019.8;198019.8;0;0
2018.11.14 16:53;0;0;0;0;0
2018.12.21 10:41;200000;200000;200000;0;0
2018.12.21 11:07;2000;2000;2000;0;0
2018.12.21 11:07;20;20;20;0;0
2019.02.05 10:51;250020;250020;250020;0;0
2019.02.05 12:18;0;0;0;0;0
2019.03.27 23:03;288359.08;288359.08;288359.08;0;0
2019.03.28 10:21;288359.08;283891.96;283891.96;-4467.12;0
2019.03.29 2:33;288394.9;283927.78;283927.78;-4467.12;0
2019.03.29 2:33;288466.53;283999.41;283999.41;-4467.12;0
2019.03.29 2:33;288502.35;284035.23;284035.23;-4467.12;0
2019.03.29 2:33;288538.17;284071.05;284071.05;-4467.12;0
2019.03.29 2:33;288573.99;284106.87;284106.87;-4467.12;0
2019.03.29 2:33;288609.81;284142.69;284142.69;-4467.12;0
2019.04.01 2:34;288621.5;284154.38;284154.38;-4467.12;0
2019.04.01 2:34;288627.34;284160.22;284160.22;-4467.12;0
2019.04.01 2:34;288633.18;284166.06;284166.06;-4467.12;0
2019.04.01 2:34;288639.02;284171.9;284171.9;-4467.12;0
2019.04.01 2:34;288644.86;284177.74;284177.74;-4467.12;0
2019.04.01 2:34;288650.7;284183.58;284183.58;-4467.12;0
2019.04.01 2:34;288653.62;284186.5;284186.5;-4467.12;0
2019.04.01 2:34;288656.54;284189.42;284189.42;-4467.12;0
2019.04.02 2:48;288689.06;284221.94;284221.94;-4467.12;0
2019.04.02 2:48;288754.1;284286.98;284286.98;-4467.12;0
2019.04.02 2:48;288786.62;284319.5;284319.5;-4467.12;0
2019.04.02 2:48;288819.14;284352.02;284352.02;-4467.12;0
2019.04.02 2:48;288851.66;284384.54;284384.54;-4467.12;0
2019.04.02 2:48;288884.18;284417.06;284417.06;-4467.12;0
2019.04.02 2:48;288900.44;284433.32;284433.32;-4467.12;0
2019.04.02 2:48;288916.7;284449.58;284449.58;-4467.12;0
2019.04.02 2:49;288932.96;284465.84;284465.84;-4467.12;0
2019.04.02 2:49;288949.22;284482.1;284482.1;-4467.12;0
2019.04.02 2:49;288965.48;284498.36;284498.36;-4467.12;0
2019.04.02 2:49;288971.98;284504.86;284504.86;-4467.12;0
2019.04.02 2:49;288975.23;284508.11;284508.11;-4467.12;0
2019.04.02 2:49;288981.73;284514.61;284514.61;-4467.12;0
2019.04.03 15:25;418981.73;414514.61;414514.61;-4467.12;0
2019.04.03 15:33;418981.73;415179.96;415179.96;-3801.77;0
2019.04.03 15:34;418981.73;416096.75;416096.75;-2884.98;0
2019.04.04 2:32;419355.1;416470.12;416470.12;-2884.98;0
2019.04.04 2:32;419541.78;416656.8;416656.8;-2884.98;0
2019.04.04 2:32;419728.46;416843.48;416843.48;-2884.98;0
2019.04.04 2:32;419915.14;417030.16;417030.16;-2884.98;0
2019.04.04 2:32;420101.82;417216.84;417216.84;-2884.98;0
2019.04.04 2:32;420288.5;417403.52;417403.52;-2884.98;0
2019.04.04 2:32;420381.84;417496.86;417496.86;-2884.98;0
2019.04.04 2:32;420475.18;417590.2;417590.2;-2884.98;0
2019.04.04 2:32;420568.52;417683.54;417683.54;-2884.98;0
2019.04.04 2:32;420661.86;417776.88;417776.88;-2884.98;0
2019.04.04 2:32;420755.2;417870.22;417870.22;-2884.98;0
2019.04.04 2:32;420773.87;417888.89;417888.89;-2884.98;0
2019.04.04 2:32;420811.21;417926.23;417926.23;-2884.98;0
2019.04.04 10:21;420811.21;418159.95;418159.95;-2651.26;0
2019.04.04 10:21;420811.21;418789.66;418789.66;-2021.55;0
2019.04.04 12:58;420811.21;410919.05;410919.05;-9892.16;0
2019.04.04 17:08;420811.21;411585.06;411585.06;-9226.15;0
2019.04.04 17:08;420811.21;412358.06;412358.06;-8453.15;0
2019.04.04 17:09;420811.21;411958.72;411958.72;-8852.49;0
2019.04.05 2:33;420824.14;411971.65;411971.65;-8852.49;0
2019.04.05 2:33;420830.61;411978.12;411978.12;-8852.49;0
2019.04.05 2:33;420837.08;411984.59;411984.59;-8852.49;0
2019.04.05 2:33;420843.55;411991.06;411991.06;-8852.49;0
2019.04.05 2:33;420850.02;411997.53;411997.53;-8852.49;0
2019.04.05 2:33;420856.49;412004;412004;-8852.49;0
2019.04.05 2:33;420859.72;412007.23;412007.23;-8852.49;0
2019.04.05 2:33;420862.95;412010.46;412010.46;-8852.49;0
2019.04.05 2:33;420866.18;412013.69;412013.69;-8852.49;0
2019.04.05 2:33;420869.41;412016.92;412016.92;-8852.49;0
2019.04.05 2:33;420872.64;412020.15;412020.15;-8852.49;0
2019.04.05 2:33;420873.29;412020.8;412020.8;-8852.49;0
2019.04.05 2:33;420874.58;412022.09;412022.09;-8852.49;0
2019.04.05 2:33;420875.87;412023.38;412023.38;-8852.49;0
2019.04.05 2:34;420877.16;412024.67;412024.67;-8852.49;0
2019.04.05 7:00;420877.16;421915.4;421915.4;1038.24;0
2019.04.05 7:46;420877.16;422127.4;422127.4;1250.24;0
2019.04.05 23:14;420877.16;428566.23;428566.23;7689.07;0
2019.04.08 2:33;420909.9;428598.97;428598.97;7689.07;0
2019.04.08 2:33;420926.27;428615.34;428615.34;7689.07;0
2019.04.08 2:33;420942.64;428631.71;428631.71;7689.07;0
2019.04.08 2:33;420959.01;428648.08;428648.08;7689.07;0
2019.04.08 2:33;420975.38;428664.45;428664.45;7689.07;0
2019.04.08 2:33;420991.75;428680.82;428680.82;7689.07;0
2019.04.08 2:33;420999.94;428689.01;428689.01;7689.07;0
2019.04.08 2:33;421008.13;428697.2;428697.2;7689.07;0
2019.04.08 2:33;421016.32;428705.39;428705.39;7689.07;0
2019.04.08 2:33;421024.51;428713.58;428713.58;7689.07;0
2019.04.08 2:33;421032.7;428721.77;428721.77;7689.07;0
2019.04.08 2:33;421035.97;428725.04;428725.04;7689.07;0
2019.04.08 2:33;421039.24;428728.31;428728.31;7689.07;0
2019.04.08 2:33;421042.51;428731.58;428731.58;7689.07;0
2019.04.08 2:33;421044.15;428733.22;428733.22;7689.07;0
2019.04.08 2:33;421047.42;428736.49;428736.49;7689.07;0
2019.04.09 2:22;421298.44;428987.51;428987.51;7689.07;0
2019.04.09 2:22;421800.49;429489.56;429489.56;7689.07;0
2019.04.09 2:22;422051.51;429740.58;429740.58;7689.07;0
2019.04.09 2:22;422302.53;429991.6;429991.6;7689.07;0
2019.04.09 2:22;422553.55;430242.62;430242.62;7689.07;0
2019.04.09 2:22;422804.57;430493.64;430493.64;7689.07;0
2019.04.09 2:22;422930.08;430619.15;430619.15;7689.07;0
2019.04.09 2:22;423055.59;430744.66;430744.66;7689.07;0
2019.04.09 2:22;423181.1;430870.17;430870.17;7689.07;0
2019.04.09 2:22;423306.61;430995.68;430995.68;7689.07;0
2019.04.09 2:22;423432.12;431121.19;431121.19;7689.07;0
2019.04.09 2:23;423482.32;431171.39;431171.39;7689.07;0
2019.04.09 2:23;423532.52;431221.59;431221.59;7689.07;0
2019.04.09 2:23;423557.62;431246.69;431246.69;7689.07;0
2019.04.09 2:23;423607.82;431296.89;431296.89;7689.07;0
2019.04.09 2:23;423658.02;431347.09;431347.09;7689.07;0
2019.04.09 2:23;423683.12;431372.19;431372.19;7689.07;0
2019.04.09 2:23;423708.22;431397.29;431397.29;7689.07;0
2019.04.09 2:23;423733.32;431422.39;431422.39;7689.07;0
2019.04.09 2:23;423758.42;431447.49;431447.49;7689.07;0
2019.04.09 15:29;423758.42;431313.64;431313.64;7555.22;0
2019.04.09 15:29;423758.42;431227.96;431227.96;7469.54;0
2019.04.09 15:29;423758.42;431163.95;431163.95;7405.53;0
2019.04.09 15:29;423758.42;431122.46;431122.46;7364.04;0
2019.04.09 15:29;423758.42;431081.72;431081.72;7323.3;0
2019.04.09 15:29;423758.42;431154.56;431154.56;7396.14;0
2019.04.09 15:29;423758.42;431480.25;431480.25;7721.83;0
2019.04.09 15:29;423758.42;432034.55;432034.55;8276.13;0
2019.04.09 15:29;423758.42;432698.89;432698.89;8940.47;0
2019.04.09 15:30;423758.42;436652.59;436652.59;12894.17;0
2019.04.09 15:30;423758.42;440741.73;440741.73;16983.31;0
2019.04.09 15:30;423758.42;445067.35;445067.35;21308.93;0
2019.04.09 15:31;423758.42;452741.09;452741.09;28982.67;0
2019.04.09 15:32;423758.42;461125.79;461125.79;37367.37;0
2019.04.09 15:32;423758.42;470182.04;470182.04;46423.62;0
2019.04.10 2:09;423895.76;470319.38;470319.38;46423.62;0
2019.04.10 2:09;423964.43;470388.05;470388.05;46423.62;0
2019.04.10 2:09;424033.1;470456.72;470456.72;46423.62;0
2019.04.10 2:09;424101.77;470525.39;470525.39;46423.62;0
2019.04.10 2:09;424170.44;470594.06;470594.06;46423.62;0
2019.04.10 2:09;424204.77;470628.39;470628.39;46423.62;0
2019.04.10 22:55;424204.77;470846.45;470846.45;46641.68;0
2019.04.11 2:24;424215.45;470857.13;470857.13;46641.68;0
2019.04.11 2:24;424236.8;470878.48;470878.48;46641.68;0
2019.04.11 2:24;424247.48;470889.16;470889.16;46641.68;0
2019.04.11 2:24;424258.16;470899.84;470899.84;46641.68;0
2019.04.11 2:24;424268.84;470910.52;470910.52;46641.68;0
2019.04.11 2:24;424274.18;470915.86;470915.86;46641.68;0
2019.04.11 2:24;424279.52;470921.2;470921.2;46641.68;0
2019.04.11 14:19;424279.52;484039.11;484039.11;59759.59;0
2019.04.11 14:19;424279.52;473489.39;473489.39;49209.87;0
2019.04.11 17:13;424279.52;472218.74;472218.74;47939.22;0
2019.04.11 17:14;424279.52;472099.64;472099.64;47820.12;0
2019.04.11 17:14;424279.52;481446.6;481446.6;57167.08;0
2019.04.11 17:43;424279.52;476449.47;476449.47;52169.95;0
2019.04.11 18:23;424279.52;461395.71;461395.71;37116.19;0
2019.04.11 18:44;424279.52;449832.7;449832.7;25553.18;0
2019.04.11 18:44;424279.52;449593.66;449593.66;25314.14;0
2019.04.11 18:45;424279.52;467698.98;467698.98;43419.46;0
2019.04.11 18:49;424279.52;487311.7;487311.7;63032.18;0
2019.04.12 2:29;424361.09;487393.27;487393.27;63032.18;0
2019.04.12 2:29;424524.23;487556.41;487556.41;63032.18;0
2019.04.12 2:29;424605.8;487637.98;487637.98;63032.18;0
2019.04.12 2:30;424768.94;487801.12;487801.12;63032.18;0
2019.04.12 2:30;425095.22;488127.4;488127.4;63032.18;0
2019.04.12 17:03;425095.22;489686.4;489686.4;64591.18;0
2019.04.12 17:03;425095.22;490007.28;490007.28;64912.06;0
2019.04.12 17:03;425095.22;490334.16;490334.16;65238.94;0
2019.04.12 17:03;425095.22;490646.53;490646.53;65551.31;0
2019.04.12 17:04;425095.22;490972.83;490972.83;65877.61;0
2019.04.12 17:39;425095.22;493247.02;493247.02;68151.8;0
2019.04.12 19:10;425095.22;484631.52;484631.52;59536.3;0
2019.04.15 2:15;425114.29;484650.59;484650.59;59536.3;0
2019.04.15 2:15;425152.43;484688.73;484688.73;59536.3;0
2019.04.15 2:15;425171.5;484707.8;484707.8;59536.3;0
2019.04.15 2:16;425247.78;484784.08;484784.08;59536.3;0
2019.04.15 2:16;425285.92;484822.22;484822.22;59536.3;0
2019.04.15 2:16;425295.46;484831.76;484831.76;59536.3;0
2019.04.15 2:16;425352.67;484888.97;484888.97;59536.3;0
2019.04.15 18:01;425352.67;481239.92;481239.92;55887.25;0
2019.04.15 18:01;425352.67;486702.76;486702.76;61350.09;0
2019.04.15 18:05;425352.67;498264.59;498264.59;72911.92;0
2019.04.15 18:05;425352.67;497688.91;497688.91;72336.24;0
2019.04.15 18:33;425352.67;497635.1;497635.1;72282.43;0
2019.04.15 18:33;425352.67;497584.13;497584.13;72231.46;0
2019.04.15 20:11;425352.67;498065.5;498065.5;72712.83;0
2019.04.15 20:28;425352.67;499651.48;499651.48;74298.81;0
2019.04.15 21:03;425352.67;500091.73;500091.73;74739.06;0
2019.04.15 23:16;425352.67;498420.26;498420.26;73067.59;0
2019.04.16 2:21;425384.52;498452.11;498452.11;73067.59;0
