instrumentum;darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
robot_Classic;12;1.40;5040.93;4;8;33.3;1638.19;-188.98;8.7;4.3;0;0
robot_Zoom;3;0.09;-1045.99;2;1;66.7;125.92;-1297.84;0.1;0.2;0;0
robot_ADX;5;3.70;-441.60;1;4;20.0;977.76;-354.84;2.8;0.7;0;0
robot_MSR;4;0.50;4655.53;3;1;75.0;2123.40;-1714.68;1.2;3.7;4;0
robot_TSQ;1;0.01;533.74;1;0;100.0;533.74;0.00;0.0;1.0;1;0
NQ100_H_Classic;12;1.40;5040.93;4;8;33.3;1638.19;-188.98;8.7;4.3;0;0
NQ100_H_MSR;3;0.30;76.21;2;1;66.7;895.45;-1714.68;0.5;1.0;3;0
EURJPY_M5_Zoom;1;0.02;166.39;1;0;100.0;166.39;0.00;0.0;1.0;0;0
SP500_M5_ADX;4;2.40;-1419.36;0;4;0.0;0.00;-354.84;0.0;0.0;0;0
SP500_H_ADX;1;1.30;977.76;1;0;100.0;977.76;0.00;0.0;1.0;0;0
USDCAD_M5_Zoom;2;0.07;-1212.38;1;1;50.0;85.46;-1297.84;0.1;0.1;0;0
USDCAD_H_TSQ;1;0.01;533.74;1;0;100.0;533.74;0.00;0.0;1.0;1;0
FTSE100_H_MSR;1;0.20;4579.32;1;0;100.0;4579.32;0.00;0.0;1.0;1;0
