nr;NQ100;type;size;oPrice;cTime;cPrice;hossz(percben);komment;profit$;profit%;calcDate;hozam$;hoz%
1;2019.04.16 12:21;buy;0.10;7657.44000;2019.04.16 22:33;7644.40000;611.0;H_Classic_a[sl];-369.36;-0.07;;-5575.20;-1.77
2;2019.04.16 12:21;buy;0.10;7657.44000;2019.04.16 22:33;7644.40000;611.0;H_Classic_b[sl];-369.36;-0.07;2019.4.16;-73.37;0.09
3;2019.04.17 09:00;buy;0.10;7676.26000;2019.04.17 17:00;7676.22000;480.0;H_Classic_a[sl];-1.13;-0.00;;914.53;0.32
4;2019.04.17 09:00;buy;0.10;7676.26000;2019.04.17 17:00;7676.22000;480.0;H_Classic_b[sl];-1.13;-0.00;2019.4.17;231.46;0.08
5;2019.04.23 09:00;buy;0.10;7730.45000;2019.04.23 10:05;7717.28000;64.0;H_Classic_b[sl];-374.98;-0.07;;421.12;0.18
6;2019.04.23 09:00;buy;0.10;7730.20000;2019.04.23 10:05;7717.28000;64.0;H_Classic_a[sl];-367.86;-0.07;;-8613.45;-2.03
7;2019.04.22 19:00;buy;0.10;7698.46000;2019.04.23 17:02;7765.31000;1322.0;H_Classic_a[tp];1886.07;0.36;;2184.22;0.45
8;2019.04.22 19:00;buy;0.10;7698.10000;2019.04.23 17:04;7768.33000;1324.0;H_Classic_b[tp];1982.20;0.38;;4641.27;0.93
9;2019.04.23 20:00;buy;0.20;7806.06000;2019.04.23 22:36;7805.63000;156.0;H_Classic_b[sl];-24.57;-0.00;;1558.29;0.28
10;2019.04.23 20:00;buy;0.20;7805.69000;2019.04.23 22:36;7805.63000;156.0;H_Classic_a[sl];-3.43;-0.00;2019.4.23;9862.73;2.40
11;2019.04.23 17:00;buy;0.10;7760.40000;2019.04.24 15:18;7825.24000;1338.0;H_Classic_a[tp];1828.04;0.35;;2036.61;0.40
12;2019.04.23 17:00;buy;0.10;7760.77000;2019.04.24 19:58;7791.45000;1618.0;H_Classic_b[sl];856.44;0.16;2019.4.24;6532.09;1.54
13;2019.04.30 01:00;sell;0.10;7787.75000;2019.04.30 05:43;7780.97000;283.0;H_MSR[sl];195.75;0.03;2019.4.30;1889.94;0.35
14;2019.05.01 13:00;buy;0.10;7840.77000;2019.05.01 22:34;7781.59000;574.0;H_MSR[sl];-1714.68;-0.27;2019.5.1;-2333.01;-0.39
15;2019.05.02 09:00;sell;0.10;7747.64000;2019.05.02 19:05;7692.62000;605.0;H_MSR[sl];1595.14;0.27;2019.5.2;1483.02;0.25
