datum;depo;komment
2018.10.17 10:57;300000.00;Dep bank: UniCredit HU Bank
2018.10.17 11:07;-2970.30;Fee: transfer to INTER
2018.10.17 11:07;-297029.70;Transfer to INTER|27018855
2018.11.14 16:38;200000.00;Dep bank: UniCredit HU Bank
2018.11.14 16:53;-198019.80;Transfer to INTER|27018855
2018.11.14 16:53;-1980.20;Fee: transfer to INTER
2018.12.21 10:41;200000.00;Dep bank: UniCredit HU Bank
2018.12.21 11:07;-1980.00;Fee: transfer to INTER
2018.12.21 11:07;-198000.00;Transfer to INTER|27018855
2019.02.05 10:51;250000.00;Dep bank: UniCredit HU Bank
2019.02.05 12:18;-250020.00;Transfer to INTER|27018855
2019.03.27 23:03;288359.08;Transfer from INTER|27018855
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52976667
2019.03.29 02:33;71.63;Adj: ex-div [SP500] #52976200
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52978286
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52991909
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52990507
2019.03.29 02:33;35.82;Adj: ex-div [SP500] #52989297
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52976667
2019.04.01 02:34;11.69;Adj: ex-div [SP500] #52976200
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52978286
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52989297
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52990507
2019.04.01 02:34;5.84;Adj: ex-div [SP500] #52991909
2019.04.01 02:34;2.92;Adj: ex-div [SP500] #53005491
2019.04.01 02:34;2.92;Adj: ex-div [SP500] #53016870
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52976667
2019.04.02 02:48;65.04;Adj: ex-div [SP500] #52976200
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52978286
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52989297
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52990507
2019.04.02 02:48;32.52;Adj: ex-div [SP500] #52991909
2019.04.02 02:48;16.26;Adj: ex-div [SP500] #53005491
2019.04.02 02:48;16.26;Adj: ex-div [SP500] #53016870
2019.04.02 02:49;16.26;Adj: ex-div [SP500] #53048486
2019.04.02 02:49;16.26;Adj: ex-div [SP500] #53054356
2019.04.02 02:49;16.26;Adj: ex-div [SP500] #53056084
2019.04.02 02:49;6.50;Adj: ex-div [SP500] #53057869
2019.04.02 02:49;3.25;Adj: ex-div [SP500] #53061688
2019.04.02 02:49;6.50;Adj: ex-div [SP500] #53063963
2019.04.03 15:25;130000.00;Dep bank: UniCredit HU Bank
2019.04.04 02:32;373.37;Adj: ex-div [SP500] #52976200
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52978286
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52976667
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52989297
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52991909
2019.04.04 02:32;186.68;Adj: ex-div [SP500] #52990507
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53005491
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53016870
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53048486
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53056084
2019.04.04 02:32;93.34;Adj: ex-div [SP500] #53054356
2019.04.04 02:32;18.67;Adj: ex-div [SP500] #53061688
2019.04.04 02:32;37.34;Adj: ex-div [SP500] #53057869
2019.04.05 02:33;6.47;Adj: ex-div [SP500] #52976667
2019.04.05 02:33;12.93;Adj: ex-div [SP500] #52976200
2019.04.05 02:33;6.47;Adj: ex-div [SP500] #52978286
2019.04.05 02:33;6.47;Adj: ex-div [SP500] #52989297
