nr;manual_SP500;type;size;oPrice;cTime;cPrice;hossz(percben);komment;profit$;profit%;calcDate;hozam$;hoz%
1;2019.04.02 15:08;buy;0.20;2869.38000;2019.04.03 15:33;2881.43000;1465.0;;665.35;0.23;;665.35;0.23
2;2019.04.01 21:56;buy;0.20;2864.60000;2019.04.03 15:34;2881.43000;2497.0;;916.79;0.32;2019.4.3;916.79;0.32
3;2019.04.01 19:59;buy;0.10;2861.41000;2019.04.04 10:21;2870.71000;3742.0;;233.72;0.08;;233.72;0.08
4;2019.04.01 18:07;buy;0.20;2858.56000;2019.04.04 10:21;2870.71000;3853.0;;629.71;0.22;;629.71;0.22
5;2019.04.04 13:04;buy;0.50;2873.87000;2019.04.04 17:08;2878.54000;244.0;;666.01;0.16;;666.01;0.16
6;2019.04.04 12:58;buy;0.50;2873.12000;2019.04.04 17:08;2878.54000;250.0;;773.00;0.19;;773.00;0.19
7;2019.04.04 17:03;buy;0.50;2881.10000;2019.04.04 17:09;2878.30000;6.0;;-399.34;-0.10;2019.4.4;-399.34;-0.10
8;2019.04.04 18:40;buy;0.10;2875.53000;2019.04.05 07:46;2883.33000;785.0;;212.00;0.05;2019.4.5;212.00;0.05
9;2019.04.08 22:01;buy;0.10;2892.35000;2019.04.09 15:29;2888.02000;1047.0;;-133.85;-0.03;;-133.85;-0.03
10;2019.04.08 13:26;buy;0.10;2890.66000;2019.04.09 15:29;2888.02000;1562.0;;-85.68;-0.02;;-85.68;-0.02
11;2019.04.08 20:34;buy;0.10;2889.90000;2019.04.09 15:29;2888.02000;1135.0;;-64.01;-0.01;;-64.01;-0.01
12;2019.04.08 09:35;buy;0.10;2889.11000;2019.04.09 15:29;2888.02000;1794.0;;-41.49;-0.01;;-41.49;-0.01
13;2019.04.05 16:07;buy;0.20;2887.27000;2019.04.09 15:29;2888.02000;5722.0;;-40.74;-0.01;;-40.74;-0.01
14;2019.04.05 12:57;buy;0.10;2884.00000;2019.04.09 15:29;2888.02000;5911.0;;72.84;0.02;;72.84;0.02
