manual
dátum;pr Doll;pr Perc
2019.03.28;-4467.12;-1.55
2019.04.03;1582.14;0.56
2019.04.04;-5967.51;-1.33
2019.04.05;16541.56;3.98
2019.04.09;38734.55;13.50
2019.04.10;218.06;0.05
2019.04.11;16390.50;10.44
2019.04.12;-3495.88;-0.71
2019.04.15;13531.29;2.78
2019.04.16;72257.02;29.78
2019.04.18;-54014.23;-9.47
2019.04.22;4257.74;0.82
2019.04.24;67058.39;12.97
2019.04.25;-18499.61;-3.13
2019.04.26;-9889.80;-1.72
2019.04.29;12825.83;2.27
2019.04.30;17293.68;3.10
2019.05.01;-6453.57;-0.78
2019.05.02;-22221.10;-3.74
2019.05.03;8761.86;1.53

