datum;fullDepo;balance;equity;hozam;lots
2018.10.17 10:57;300000.00;300000.00;300000.00;0.00;
2018.10.17 11:07;297029.70;297029.70;297029.70;0.00;
2018.10.17 11:07;0.00;0.00;0.00;0.00;
2018.11.14 16:38;200000.00;200000.00;200000.00;0.00;
2018.11.14 16:53;1980.20;1980.20;1980.20;0.00;
2018.11.14 16:53;0.00;0.00;0.00;0.00;
2018.12.21 10:41;200000.00;200000.00;200000.00;0.00;
2018.12.21 11:07;198020.00;198020.00;198020.00;0.00;
2018.12.21 11:07;20.00;20.00;20.00;0.00;
2019.02.05 10:51;250020.00;250020.00;250020.00;0.00;
2019.02.05 12:18;0.00;0.00;0.00;0.00;
2019.03.27 23:03;288359.08;288359.08;288359.08;0.00;
2019.03.28 10:21;288359.08;283891.96;283891.96;0.00;0.10
2019.03.29 02:33;288394.90;283927.78;283927.78;0.00;
2019.03.29 02:33;288466.53;283999.41;283999.41;0.00;
2019.03.29 02:33;288502.35;284035.23;284035.23;0.00;
2019.03.29 02:33;288538.17;284071.05;284071.05;0.00;
2019.03.29 02:33;288573.99;284106.87;284106.87;0.00;
2019.03.29 02:33;288609.81;284142.69;284142.69;0.00;
2019.04.01 02:34;288615.65;284148.53;284148.53;0.00;
2019.04.01 02:34;288627.34;284160.22;284160.22;0.00;
2019.04.01 02:34;288633.18;284166.06;284166.06;0.00;
2019.04.01 02:34;288639.02;284171.90;284171.90;0.00;
2019.04.01 02:34;288644.86;284177.74;284177.74;0.00;
2019.04.01 02:34;288650.70;284183.58;284183.58;0.00;
2019.04.01 02:34;288653.62;284186.50;284186.50;0.00;
2019.04.01 02:34;288656.54;284189.42;284189.42;0.00;
2019.04.02 02:48;288689.06;284221.94;284221.94;0.00;
2019.04.02 02:48;288754.10;284286.98;284286.98;0.00;
2019.04.02 02:48;288786.62;284319.50;284319.50;0.00;
2019.04.02 02:48;288819.14;284352.02;284352.02;0.00;
2019.04.02 02:48;288851.66;284384.54;284384.54;0.00;
2019.04.02 02:48;288884.18;284417.06;284417.06;0.00;
2019.04.02 02:48;288900.44;284433.32;284433.32;0.00;
2019.04.02 02:48;288916.70;284449.58;284449.58;0.00;
2019.04.02 02:49;288932.96;284465.84;284465.84;0.00;
2019.04.02 02:49;288949.22;284482.10;284482.10;0.00;
2019.04.02 02:49;288965.48;284498.36;284498.36;0.00;
2019.04.02 02:49;288971.98;284504.86;284504.86;0.00;
2019.04.02 02:49;288975.23;284508.11;284508.11;0.00;
2019.04.02 02:49;288981.73;284514.61;284514.61;0.00;
2019.04.03 15:25;418981.73;414514.61;414514.61;0.00;
2019.04.03 15:33;418981.73;415179.96;415179.96;0.00;0.20
2019.04.03 15:34;418981.73;416096.75;416096.75;0.00;0.20
2019.04.04 02:32;419355.10;416470.12;416470.12;0.00;
2019.04.04 02:32;419541.78;416656.80;416656.80;0.00;
2019.04.04 02:32;419728.46;416843.48;416843.48;0.00;
2019.04.04 02:32;419915.14;417030.16;417030.16;0.00;
2019.04.04 02:32;420101.82;417216.84;417216.84;0.00;
2019.04.04 02:32;420288.50;417403.52;417403.52;0.00;
2019.04.04 02:32;420381.84;417496.86;417496.86;0.00;
2019.04.04 02:32;420475.18;417590.20;417590.20;0.00;
2019.04.04 02:32;420568.52;417683.54;417683.54;0.00;
2019.04.04 02:32;420661.86;417776.88;417776.88;0.00;
2019.04.04 02:32;420755.20;417870.22;417870.22;0.00;
2019.04.04 02:32;420773.87;417888.89;417888.89;0.00;
2019.04.04 02:32;420811.21;417926.23;417926.23;0.00;
2019.04.04 10:21;420811.21;418159.95;418159.95;0.00;0.10
2019.04.04 10:21;420811.21;418789.66;418789.66;0.00;0.20
2019.04.04 12:58;420811.21;410919.05;410919.05;0.00;0.10
2019.04.04 17:08;420811.21;411585.06;411585.06;0.00;0.50
2019.04.04 17:08;420811.21;412358.06;412358.06;0.00;0.50
2019.04.04 17:09;420811.21;411958.72;411958.72;0.00;0.50
2019.04.05 02:33;420817.68;411965.19;411965.19;0.00;
2019.04.05 02:33;420830.61;411978.12;411978.12;0.00;
2019.04.05 02:33;420837.08;411984.59;411984.59;0.00;
2019.04.05 02:33;420843.55;411991.06;411991.06;0.00;
2019.04.05 02:33;420850.02;411997.53;411997.53;0.00;
2019.04.05 02:33;420856.49;412004.00;412004.00;0.00;
2019.04.05 02:33;420859.72;412007.23;412007.23;0.00;
2019.04.05 02:33;420862.95;412010.46;412010.46;0.00;
2019.04.05 02:33;420866.18;412013.69;412013.69;0.00;
2019.04.05 02:33;420869.41;412016.92;412016.92;0.00;
2019.04.05 02:33;420872.64;412020.15;412020.15;0.00;
2019.04.05 02:33;420873.29;412020.80;412020.80;0.00;
2019.04.05 02:33;420874.58;412022.09;412022.09;0.00;
2019.04.05 02:33;420875.87;412023.38;412023.38;0.00;
2019.04.05 02:34;420877.16;412024.67;412024.67;0.00;
2019.04.05 07:00;420877.16;421915.40;421915.40;0.00;0.10
2019.04.05 07:46;420877.16;422127.40;422127.40;0.00;0.10
2019.04.05 23:14;420877.16;428566.23;428566.23;0.00;0.10
2019.04.08 02:33;420909.90;428598.97;428598.97;0.00;
2019.04.08 02:33;420926.27;428615.34;428615.34;0.00;
2019.04.08 02:33;420942.64;428631.71;428631.71;0.00;
2019.04.08 02:33;420959.01;428648.08;428648.08;0.00;
2019.04.08 02:33;420975.38;428664.45;428664.45;0.00;
