'Dátum, Balance, hozam, full depó, manuál, robot, költség, osztalék
"2019.03.25",0,-6930.5,6930.5,0,0,-6930.5,0
"2019.03.26",0,-6930.5,6930.5,0,0,-6930.5,0
"2019.03.27",288359.08,-6930.5,295289.58,0,0,-6930.5,0
"2019.03.28",283891.96,-11397.62,295289.58,-4467.12,0,-6930.5,0
"2019.03.29",284142.69,-11146.89,295289.58,-4467.12,0,-6930.5,250.73
"2019.03.30",284142.69,-11146.89,295289.58,-4467.12,0,-6930.5,250.73
"2019.03.31",284142.69,-11146.89,295289.58,-4467.12,0,-6930.5,250.73
"2019.04.01",284189.42,-11100.16,295289.58,-4467.12,0,-6930.5,297.46
"2019.04.02",284514.61,-10774.97,295289.58,-4467.12,0,-6930.5,622.65
"2019.04.03",416096.75,-9192.83,425289.58,-2884.98,0,-6930.5,622.65
"2019.04.04",411958.72,-13330.86,425289.58,-8852.49,0,-6930.5,2452.13
"2019.04.05",428566.23,3276.65,425289.58,7689.07,0,-6930.5,2518.08
"2019.04.06",428566.23,3276.65,425289.58,7689.07,0,-6930.5,2518.08
"2019.04.07",428566.23,3276.65,425289.58,7689.07,0,-6930.5,2518.08
"2019.04.08",428736.49,3446.91,425289.58,7689.07,0,-6930.5,2688.34
"2019.04.09",470182.04,44892.46,425289.58,46423.62,0,-6930.5,5399.34
"2019.04.10",470846.45,45556.87,425289.58,46641.68,0,-6930.5,5845.69
"2019.04.11",487311.7,62022.12,425289.58,63032.18,0,-6930.5,5920.44
"2019.04.12",484631.52,59341.94,425289.58,59536.3,0,-6930.5,6736.14
"2019.04.13",484631.52,59341.94,425289.58,59536.3,0,-6930.5,6736.14
"2019.04.14",484631.52,59341.94,425289.58,59536.3,0,-6930.5,6736.14
"2019.04.15",498420.26,73130.68,425289.58,73067.59,0,-6930.5,6993.59
"2019.04.16",570129.69,144840.11,425289.58,145324.61,-738.72,-6930.5,7184.72
"2019.04.17",570725.55,145435.97,425289.58,145324.61,-574.59,-6930.5,7616.45
"2019.04.18",516961.03,91671.45,425289.58,91310.38,-574.59,-6930.5,7866.16
"2019.04.19",516961.03,91671.45,425289.58,91310.38,-574.59,-6930.5,7866.16
"2019.04.20",516961.03,91671.45,425289.58,91310.38,-574.59,-6930.5,7866.16
"2019.04.21",516961.03,91671.45,425289.58,91310.38,-574.59,-6930.5,7866.16
"2019.04.22",521506.81,96217.23,425289.58,95568.12,-574.59,-6930.5,8154.2
"2019.04.23",524946.18,99656.6,425289.58,95568.12,2522.84,-6930.5,8496.14
"2019.04.24",594257.31,168967.73,425289.58,162626.51,4765.72,-6930.5,8506
"2019.04.25",575843.16,150553.58,425289.58,144126.9,4851.18,-6930.5,8506
"2019.04.26",564655.52,139365.94,425289.58,134237.1,3553.34,-6930.5,8506
"2019.04.27",564655.52,139365.94,425289.58,134237.1,3553.34,-6930.5,8506
"2019.04.28",564655.52,139365.94,425289.58,134237.1,3553.34,-6930.5,8506
"2019.04.29",577798.92,152509.34,425289.58,147062.93,3553.34,-6930.5,8823.57
"2019.04.30",595446.54,170156.96,425289.58,164356.61,3749.09,-6930.5,8981.76
"2019.05.01",587871.98,162582.4,425289.58,157903.04,2568.15,-6930.5,9041.71
"2019.05.02",571488.81,146199.23,425289.58,135681.94,8742.61,-6930.5,8705.18
"2019.05.03",581085.86,155796.28,425289.58,144443.8,8742.61,-6930.5,9540.37
"2019.05.04",581085.86,155796.28,425289.58,144443.8,8742.61,-6930.5,9540.37
"2019.05.05",581085.86,155796.28,425289.58,144443.8,8742.61,-6930.5,9540.37
"2019.05.06",557200.2,131910.62,425289.58,117811.75,10785.29,-6930.5,10244.08
"2019.05.07",527161.22,101871.64,425289.58,107779.29,-9250.02,-6930.5,10272.87
"2019.05.08",538509.38,113219.8,425289.58,114341.35,-4463.92,-6930.5,10272.87
"2019.05.09",535076.84,109787.26,425289.58,114341.35,-7905.56,-6930.5,10281.97
"2019.05.10",513062.56,87772.98,425289.58,91392.82,-6971.31,-6930.5,10281.97
"2019.05.11",513062.56,87772.98,425289.58,91392.82,-6971.31,-6930.5,10281.97
"2019.05.12",513062.56,87772.98,425289.58,91392.82,-6971.31,-6930.5,10281.97
"2019.05.13",516037.13,90747.55,425289.58,92337.13,-4941.05,-6930.5,10281.97
"2019.05.14",504403.27,79113.69,425289.58,92337.13,-16574.91,-6930.5,10281.97
"2019.05.15",499045.55,73755.97,425289.58,92337.13,-21932.63,-6930.5,10281.97
"2019.05.16",427557.6,2268.02,425289.58,23403.26,-23761.52,-6930.5,9556.78
"2019.05.17",417975.89,-7313.69,425289.58,14624,-24897.05,-6930.5,9889.86
"2019.05.18",417975.89,-7313.69,425289.58,14624,-24897.05,-6930.5,9889.86
"2019.05.19",417975.89,-7313.69,425289.58,14624,-24897.05,-6930.5,9889.86
"2019.05.20",417975.89,-7313.69,425289.58,14624,-24897.05,-6930.5,9889.86
"2019.05.21",417975.89,-7313.69,425289.58,14624,-24897.05,-6930.5,9889.86
"2019.05.22",417975.89,-7313.69,425289.58,14624,-24897.05,-6930.5,9889.86
"2019.05.23",417975.89,-7313.69,425289.58,14624,-24897.05,-6930.5,9889.86
"2019.05.24",417975.89,-7313.69,425289.58,14624,-24897.05,-6930.5,9889.86
"2019.05.25",417975.89,-7313.69,425289.58,14624,-24897.05,-6930.5,9889.86
